"","9014_1-5","9014_1-6","9014_2-5","9014_2-6","9014_5-6","9014_6-5-1","9014_6-5-2","9014_6-6"
"SSU72",6517,6487,5156,6841,5207,4655,4970,5745
"RP5-832C2.5",20,12,14,14,12,11,12,9
"RP11-345P4.11",0,0,0,0,0,0,0,0
"C1orf233",269,328,207,332,195,201,206,202
"RP11-345P4.9",183,99,178,121,133,195,191,145
"MIB2",927,803,745,758,1042,947,1157,1148
"MMP23B",2,0,1,0,3,2,0,4
"CDK11B",3185,2678,2683,2915,2377,2544,2780,2548
"RP11-345P4.10",4,4,1,2,2,10,7,5
"SLC35E2B",3449,4724,2901,5513,4818,3895,4253,5687
"RP11-345P4.6",265,279,189,317,382,333,356,526
"MMP23A",3,2,5,4,2,3,2,5
"CDK11A",211,151,186,167,247,256,295,254
"RP1-283E3.8",79,116,56,144,137,95,110,155
"RP1-283E3.4",12,12,8,18,15,8,13,15
"SLC35E2",275,461,184,464,399,340,404,520
"NADK",2337,1903,1966,2052,1660,1995,2163,1956
"GNB1",30905,25046,26168,26910,22433,21435,22964,24396
"RP1-140A9.1",6,10,6,7,3,7,10,9
"CALML6",3,2,3,1,5,2,2,1
"TMEM52",3,7,2,5,1,0,6,3
"CFAP74",0,0,0,0,0,0,0,0
"RP11-547D24.1",0,0,0,0,0,0,0,0
"GABRD",1,0,0,0,0,0,0,0
"RP11-547D24.3",0,0,1,0,0,3,0,0
"PRKCZ",485,433,425,464,382,393,395,387
"RP5-892K4.1",2,10,4,4,2,1,6,0
"RP11-181G12.2",83,67,66,46,82,49,76,93
"FAAP20",1290,1253,1101,1218,1187,1138,1269,1400
"RP11-181G12.4",0,0,0,0,0,0,0,0
"SKI",8894,6024,7144,6255,5247,5710,6410,6520
"MORN1",93,105,71,105,119,113,90,149
"RP4-713A8.1",0,1,1,0,0,1,1,0
"RP4-740C4.5",11,34,6,20,28,28,18,23
"RP4-740C4.7",2,2,2,4,4,7,4,4
"RER1",3611,3302,2933,3232,2741,3167,3281,3423
"PEX10",373,429,305,470,353,273,339,395
"PLCH2",438,321,410,363,421,450,512,458
"RP3-395M20.2",1,5,0,4,9,3,10,4
"RP3-395M20.3",5,0,3,7,6,8,11,9
"PANK4",1503,1819,1216,1897,1611,1506,1753,1848
"HES5",4,1,6,0,3,3,6,12
"RP3-395M20.12",138,85,110,93,130,131,174,119
"RP3-395M20.8",495,602,403,545,1027,841,985,1177
"TNFRSF14",10606,12950,8702,13451,18058,14216,15509,19274
"RP3-395M20.7",20,25,12,24,53,51,67,60
"RP3-395M20.9",49,114,47,139,181,87,85,175
"FAM213B",2199,1724,1777,2012,2658,2426,2597,2955
"MMEL1",24,28,18,40,25,19,18,35
"RP13-436F16.1",0,0,0,0,0,0,0,0
"TTC34",20,22,22,18,25,14,24,37
"ABC14-1188822O7.1",0,0,0,0,0,1,1,0
"RP11-740P5.2",0,0,0,0,0,0,0,0
"RP11-740P5.3",0,0,0,0,0,0,0,0
"RP5-907A6.1",0,0,0,0,0,1,0,0
"ACTRT2",0,0,0,0,0,0,0,0
"RP1-163G9.1",0,2,4,3,5,5,4,1
"PRDM16",41,42,23,39,7,37,41,18
"MIR4251",0,0,0,0,0,0,0,0
"RP1-163G9.2",0,0,1,0,0,0,0,0
"RP11-193J6.1",0,0,0,0,0,0,0,0
"RP11-22L13.1",0,0,0,0,0,0,0,0
"ARHGEF16",0,1,1,1,0,4,1,1
"RP11-168F9.2",0,1,0,3,1,0,0,0
"MEGF6",322,582,319,617,525,340,413,533
"MIR551A",0,0,0,0,0,0,0,0
"RP11-46F15.2",3,0,1,6,9,1,4,4
"TPRG1L",2002,2479,1603,2513,1720,1333,1479,1863
"WRAP73",1848,1673,1552,1830,1659,1801,1781,1772
"TP73",126,101,96,108,38,85,74,41
"RP5-1092A11.5",1,0,0,0,0,0,3,0
"RP5-1092A11.2",0,0,0,0,0,0,0,0
"TP73-AS1",778,856,604,885,927,636,752,1022
"RF02197",0,0,0,0,0,0,0,0
"CCDC27",0,2,0,0,0,1,2,0
"SMIM1",5,6,4,9,4,4,2,9
"LRRC47",2533,2452,2079,2587,2221,2078,2116,2435
"RN7SL574P",5,0,4,3,2,5,1,5
"RP1-286D6.5",64,29,33,38,33,47,82,55
"CEP104",2888,2496,2310,2731,2905,2528,2745,3087
"DFFB",367,442,331,524,453,465,409,522
"C1orf174",1482,1300,1106,1296,1083,1221,1272,1198
"RP13-15E13.1",52,46,23,53,17,22,33,32
"RP13-614K11.1",0,0,0,0,0,0,0,0
"RP13-614K11.2",0,0,0,0,0,0,1,0
"RP11-718D19.1",0,0,0,0,0,0,0,0
"RP11-718D19.2",0,0,0,0,0,0,0,0
"RP11-374C13.1",0,0,0,0,0,0,0,0
"RP5-1166F10.1",0,0,0,0,0,0,0,0
"RP5-1166F10.2",0,0,0,0,0,2,0,0
"RP1-37J18.1",0,0,0,0,0,1,0,0
"RP1-37J18.2",0,0,0,0,0,0,0,0
"AJAP1",1,0,1,1,0,0,0,0
"RP4-603B14.2",0,0,0,0,0,0,0,0
"RP4-603B14.1",0,0,0,0,0,0,3,0
"RP11-542C10.1",0,0,0,0,0,0,0,0
"RP4-703E10.1",0,0,0,0,0,0,0,0
"RP1-58B11.2",0,0,0,0,0,0,0,0
"RP1-58B11.3",0,0,0,0,0,0,0,0
"RP1-58B11.1",0,0,0,0,0,0,0,0
"RP3-491M17.1",0,0,0,0,0,0,0,0
"RP11-154H17.1",1,9,6,7,1,2,2,3
"MIR4417",0,0,0,0,0,0,0,1
"MIR4689",0,0,0,0,0,0,0,0
"NPHP4",931,525,713,505,521,762,817,570
"KCNAB2",16627,16645,14095,17461,13990,14264,15367,15587
"CHD5",12,1,13,10,3,18,23,8
"RPL22",19636,37703,15401,39838,28944,18379,19007,32510
"RP1-120G22.11",1,6,1,10,6,18,12,7
"RNF207",404,348,396,452,951,1052,1279,960
"ICMT",2868,3337,2552,3244,2142,2426,2581,2380
"LINC00337",21,10,24,16,11,25,18,4
"HES3",0,0,0,0,0,0,0,0
"GPR153",36,27,28,16,17,18,31,15
"ACOT7",5990,3737,5247,3752,2609,3840,4409,3018
"RP1-202O8.3",0,0,0,0,0,0,0,0
"HES2",130,28,104,16,7,19,15,7
"ESPN",68,142,64,159,126,71,99,131
"MIR4252",0,0,0,0,0,0,0,0
"RP1-202O8.2",0,0,0,0,0,1,1,0
"TNFRSF25",4353,3843,3466,4150,5960,5128,5930,6743
"PLEKHG5",184,186,178,200,181,202,207,243
"NOL9",1576,1590,1297,1744,1647,1592,1918,1902
"RNU6-731P",1,0,0,0,0,0,1,1
"RP11-58A11.2",12,10,4,11,11,4,12,8
"TAS1R1",2,0,0,1,0,3,2,5
"ZBTB48",1605,1304,1267,1290,1364,1505,1725,1545
"KLHL21",4331,3434,3517,3506,3491,3525,3770,4080
"PHF13",826,561,712,579,645,658,742,673
"THAP3",1013,949,823,952,745,728,816,781
"DNAJC11",1496,1517,1128,1508,1427,1518,1635,1557
"RP11-242F24.1",0,0,0,0,0,0,0,0
"RP11-242F24.2",0,0,1,0,0,0,0,1
"RP11-312B8.1",5,10,1,7,7,5,7,10
"CAMTA1",815,679,668,706,566,515,630,659
"RP11-312B8.2",0,0,0,2,0,1,1,1
"RP11-334N17.1",0,0,1,0,0,0,0,1
"RNU1-8P",0,0,0,0,0,0,0,0
"RP3-453P22.1",0,0,1,0,0,0,0,0
"RP3-453P22.2",0,0,0,0,0,0,0,0
"RP4-549F15.1",0,0,0,0,0,0,0,0
"RP11-338N10.1",0,0,0,0,0,0,0,0
"RP11-338N10.2",0,0,0,0,0,0,0,0
"RP11-338N10.3",0,0,0,0,0,0,0,0
"VAMP3",1747,1959,1520,2110,1450,1333,1298,1638
"RP3-467L1.6",25,17,21,17,35,31,29,33
"PER3",169,273,123,327,208,151,155,248
"RP3-467L1.4",7,7,4,3,2,4,3,2
"UTS2",429,521,363,573,306,361,380,378
"TNFRSF9",1723,149,1369,133,309,2151,2210,397
"RP5-892F13.2",0,0,0,0,0,0,0,0
"PARK7",10059,9236,8578,9447,7709,7580,8199,8632
"RF00019",568,373,561,479,552,824,818,726
"CTA-215D11.6",29,13,18,8,12,20,20,24
"CTA-215D11.5",1,0,1,0,1,1,3,0
"ERRFI1",74,22,67,29,35,51,80,49
"RP11-431K24.1",0,0,0,0,0,0,0,0
"CTA-215D11.4",0,1,0,0,0,0,0,0
"RP11-431K24.2",0,0,0,0,0,0,1,0
"RP11-431K24.3",0,0,0,0,0,0,0,0
"RNU1-7P",0,0,0,0,0,0,0,0
"RP11-431K24.4",0,0,0,0,0,0,0,0
"RNU6-991P",0,0,0,0,0,0,0,0
"SLC45A1",53,26,47,24,16,27,45,29
"RERE",6041,6608,5002,7092,5255,4584,5091,6282
"RP5-1115A15.1",24,28,19,32,32,34,37,37
"RF00599",2,0,2,0,0,2,2,0
"RP5-1115A15.2",1,0,5,0,0,0,1,2
"RP4-633I8.1",0,0,0,2,0,0,0,0
"RP4-633I8.2",0,0,0,1,0,0,0,0
"RP4-633I8.3",0,0,0,0,0,0,0,0
"RP4-633I8.4",2,2,0,0,0,0,0,1
"RP11-185B14.1",0,0,0,0,0,0,0,0
"ENO1",201507,110225,172137,114372,92541,123634,132842,100653
"MIR6728",13,4,11,1,0,13,7,1
"RP3-477M7.3",13,9,11,12,8,12,28,17
"RNU6-304P",0,0,0,2,2,0,1,4
"RP3-477M7.4",5,17,3,14,10,7,17,10
"RP3-477M7.5",74,155,65,183,169,127,152,206
"RP3-477M7.6",0,1,0,1,1,0,4,0
"CA6",591,689,426,746,522,475,541,638
"RN7SL451P",0,0,0,0,2,0,0,0
"SLC2A7",3,9,2,13,7,4,4,2
"SLC2A5",7,2,13,4,2,5,5,3
"RF00424",0,0,0,0,0,0,0,0
"GPR157",2125,247,1677,323,292,554,554,314
"MIR34AHG",403,215,267,308,350,381,455,436
"MIR34A",0,0,0,0,0,0,0,0
"RP3-510D11.2",97,164,69,156,121,109,119,133
"H6PD",2291,2722,1925,3114,4615,3464,3915,5264
"SPSB1",777,355,720,344,220,336,349,224
"CTD-2510L9.2",0,0,0,0,0,0,3,1
"CTD-2510L9.1",2,0,1,1,0,0,2,0
"RNA5SP40",0,0,0,0,0,0,0,0
"RP13-392I16.1",1,0,0,0,0,0,0,0
"SLC25A33",892,672,812,605,699,766,837,640
"RP13-15M17.1",7,12,4,2,9,7,14,6
"TMEM201",695,675,614,675,610,652,718,615
"PIK3CD",20790,24754,17073,27307,31602,25794,27576,35211
"C1orf200",31,66,28,51,62,48,34,60
"RP11-558F24.2",1,3,3,1,3,9,17,4
"RP11-558F24.4",6,24,17,15,10,16,26,22
"CLSTN1",14790,18963,12506,20906,14384,10342,10909,15841
"RP11-558F24.6",0,0,0,0,0,2,0,0
"RP11-84A14.7",0,0,0,0,1,0,0,0
"CTNNBIP1",551,406,524,457,407,369,375,344
"RP11-84A14.5",0,0,0,0,0,0,0,0
"LZIC",1201,1348,975,1544,1040,858,963,1190
"RP11-84A14.4",18,18,16,19,15,10,19,16
"NMNAT1",379,385,294,330,299,283,320,335
"RN7SKP269",5,1,0,1,1,3,2,0
"RP11-84A14.6",0,2,0,0,0,1,1,0
"MIR5697",0,0,0,0,1,0,1,0
"RP11-807G9.2",0,0,0,0,0,0,0,0
"RBP7",0,0,2,0,0,0,0,2
"UBE4B",2788,3090,2274,3407,2889,2375,2583,3163
"RP11-496H15.2",3,0,0,2,1,1,3,1
"RP11-496H15.3",1,6,2,4,1,1,0,3
"RNU6-828P",3,0,0,2,5,1,0,1
"KIF1B",2971,2373,2418,2659,2226,1798,1899,2637
"MIR1273D",0,0,0,0,0,0,0,0
"RNU6-37P",0,0,1,2,0,0,3,0
"RN7SL731P",0,0,0,0,0,0,0,0
"RP4-736L20.4",11,8,8,2,4,9,2,8
"RP4-736L20.5",6,3,4,4,7,17,3,2
"PGD",6027,5259,5335,5984,5049,4997,5322,5440
"RP4-736L20.3",1,0,0,2,0,0,2,0
"APITD1-CORT",1,2,1,1,4,1,2,1
"CENPS",35,68,31,64,31,57,41,38
"CORT",8,1,2,7,4,6,10,1
"DFFA",2234,2261,1721,2495,1856,1737,1820,2141
"RP5-1113E3.3",0,0,0,0,0,0,0,0
"PEX14",1539,1224,1237,1233,1100,1146,1216,1211
"RN7SL614P",7,3,5,2,2,0,6,8
"CASZ1",571,392,491,490,821,732,791,950
"RP4-734G22.3",64,49,58,23,87,67,66,79
"RP11-340B24.3",0,0,0,0,0,0,0,0
"C1orf127",3,0,0,0,0,0,0,0
"CFLP6",0,1,0,1,0,0,2,0
"TARDBP",2836,3236,2198,3355,2606,2693,2615,3204
"RP4-635E18.9",0,0,0,2,0,0,4,2
"MASP2",31,58,27,63,59,49,62,72
"RP4-635E18.8",26,35,18,19,36,31,48,55
"SRM",4596,3634,3995,3657,3427,4082,4390,3721
"EXOSC10",4273,3629,3589,3919,3471,3653,3858,3795
"RP4-635E18.7",12,4,12,15,8,22,15,10
"RP4-635E18.6",7,3,1,5,4,2,6,1
"MTOR",5290,4999,4482,5821,5220,5172,5932,6126
"RP11-99P18.1",0,0,2,4,1,10,7,4
"RNU6-537P",0,0,1,0,0,0,0,0
"ANGPTL7",0,3,0,4,1,4,5,2
"RNU6-291P",0,0,0,0,2,0,0,1
"RP4-647M16.1",0,2,0,4,1,0,0,0
"UBIAD1",1780,2788,1425,2949,1931,1418,1512,2082
"RP4-796F18.2",3,2,0,4,8,1,4,2
"RP4-796F18.3",0,0,0,0,0,0,0,0
"RP11-149P14.1",0,0,0,0,0,0,0,0
"DISP3",59,59,48,82,27,55,65,58
"RP1-69M21.2",0,0,0,0,0,0,0,0
"RP3-330O12.5",0,0,0,0,0,0,1,1
"FBXO2",272,57,238,61,99,122,151,88
"FBXO44",1800,974,1537,1110,1167,1443,1584,1231
"FBXO6",4616,3142,3927,3371,2217,2524,2846,2308
"MAD2L2",2432,1582,2327,1620,1002,1425,1687,1121
"DRAXIN",181,67,168,48,25,82,103,26
"AGTRAP",909,606,849,644,556,580,598,522
"C1orf167",1,0,2,0,0,0,2,0
"RP11-56N19.5",0,0,0,0,0,0,0,0
"MTHFR",1510,1169,1178,1316,1256,1304,1452,1376
"CLCN6",809,507,741,520,762,960,1042,833
"NPPA-AS1",14,3,7,3,17,9,18,9
"RF02156",0,0,0,0,0,0,0,0
"RF02157",0,0,0,0,0,0,0,0
"NPPA",2,1,4,4,6,7,7,2
"RF02158",0,0,0,0,0,0,0,0
"NPPB",0,0,0,0,0,0,0,0
"RP5-934G17.6",0,0,0,0,0,0,0,2
"RNU5E-1",1,1,2,1,0,4,6,0
"RNU5E-4P",4,0,2,0,0,0,0,0
"KIAA2013",2875,2532,2345,2555,1924,2036,2147,2256
"PLOD1",1673,800,1429,884,795,1292,1353,958
"MFN2",6418,5293,5083,5807,4512,4857,5201,5160
"RP5-1077B9.5",0,0,0,0,0,0,0,0
"MIIP",4105,2032,3390,1931,2256,2966,3217,2360
"MIR6729",0,0,0,0,0,0,0,0
"RN7SL649P",0,0,0,0,0,0,1,0
"TNFRSF8",515,251,412,234,209,430,513,289
"RNU6-777P",0,0,0,0,0,0,0,0
"RP11-426M1.2",0,0,0,0,0,0,0,0
"MIR7846",0,0,0,0,0,0,1,0
"TNFRSF1B",29629,13892,24777,14535,9842,13524,14963,11030
"MIR4632",2,1,7,0,1,3,5,0
"RP5-1118D24.2",1,0,0,0,0,0,1,0
"RF00156",8,2,4,4,3,10,6,4
"VPS13D",5832,5654,4737,6305,6495,5298,5555,7414
"SNORA59A",2,9,4,4,7,8,5,10
"RP5-888M10.2",8,6,9,9,10,8,16,7
"DHRS3",14028,10693,11657,11257,11718,8676,9458,13028
"RNU6ATAC18P",55,24,44,27,22,33,27,25
"MIR6730",21,13,19,10,16,9,21,18
"RP11-474O21.5",32,18,29,19,18,24,22,22
"AADACL4",0,0,0,0,0,0,0,0
"RP11-474O21.2",0,0,0,0,0,0,0,0
"AADACL3",0,0,0,0,0,0,0,0
"C1orf158",0,0,0,0,0,1,0,0
"PRAMEF12",0,0,0,0,0,0,0,0
"PRAMEF1",0,0,0,0,0,0,0,0
"RP5-845O24.8",0,0,0,0,0,0,0,0
"PRAMEF11",0,0,0,0,0,0,0,0
"RP5-845O24.3",0,0,0,0,0,0,0,0
"HNRNPCL1",3,1,1,3,4,0,1,0
"PRAMEF2",0,0,0,0,0,0,0,0
"PRAMEF4",0,0,0,0,0,0,0,0
"PRAMEF10",0,0,0,0,0,0,0,0
"PRAMEF7",0,0,0,0,0,0,0,0
"RNU6-1072P",0,0,0,0,0,0,0,0
"RP11-450I1.2",0,0,0,0,0,0,0,0
"PRAMEF6",0,0,0,0,0,0,0,0
"CH17-409J4.2",0,0,0,0,0,0,0,0
"PRAMEF27",0,0,0,0,0,0,0,0
"HNRNPCL3",0,0,0,0,0,0,0,0
"PRAMEF25",0,0,0,0,0,0,0,0
"WI2-2994D6.1",0,0,0,0,0,0,0,0
"RP13-221M14.4",0,0,0,0,0,0,0,0
"HNRNPCL2",1,0,0,0,0,0,0,0
"RP13-221M14.3",0,0,0,0,0,0,0,0
"RP13-221M14.2",0,0,0,0,0,0,0,0
"PRAMEF26",0,0,0,0,0,0,0,0
"HNRNPCL4",0,0,0,0,0,0,0,0
"PRAMEF9",0,0,0,0,0,0,0,0
"PRAMEF13",0,0,0,0,0,0,0,0
"PRAMEF18",0,0,0,0,0,0,0,0
"RP11-450I1.4",0,0,0,0,0,0,0,0
"PRAMEF5",0,0,0,0,0,0,0,0
"RP11-219C24.8",0,0,0,0,0,0,0,0
"RNU6-771P",0,0,0,0,0,0,0,0
"PRAMEF8",0,0,0,0,0,0,0,0
"RP11-219C24.6",0,0,0,0,0,0,0,0
"PRAMEF15",0,0,0,0,0,0,0,0
"RP11-219C24.10",0,0,0,0,0,0,0,0
"PRAMEF14",0,0,0,0,0,0,0,0
"PRAMEF19",0,0,0,0,0,0,0,0
"PRAMEF17",0,0,0,0,0,0,0,0
"PRAMEF20",0,0,0,0,0,0,0,0
"LRRC38",0,0,0,0,0,0,0,0
"RP4-597A16.2",0,0,0,0,0,0,0,0
"RP4-597A16.3",0,0,0,0,0,0,0,0
"PDPN",0,0,0,0,0,0,0,0
"RNA5SP41",0,0,0,0,0,0,0,0
"CTA-520D8.2",0,0,0,0,0,0,0,0
"RF00564",1,1,0,0,0,0,5,1
"PRDM2",5155,5684,4415,6188,5154,4415,4910,5929
"KAZN",8,2,17,1,5,8,8,1
"RNU6-1265P",0,0,0,0,0,0,0,0
"RP11-344F13.1",0,0,0,0,0,0,0,0
"RP4-704D23.1",0,0,0,0,0,0,1,0
"RP3-410I8.1",0,0,0,0,0,0,0,0
"TMEM51-AS1",2,0,0,0,0,0,0,0
"TMEM51",277,34,237,43,40,70,86,35
"C1orf195",2,0,0,0,0,0,0,0
"RP1-21O18.3",1,0,0,0,0,0,0,0
"RP5-903E17.2",1,0,2,0,0,0,0,0
"FHAD1",39,5,20,13,10,14,14,13
"RP3-467K16.2",0,0,0,0,0,0,1,0
"RP3-467K16.7",2,0,0,0,0,0,0,0
"RP3-467K16.4",3,0,3,2,5,5,3,0
"EFHD2",8728,4901,7258,4901,5409,6673,7352,5624
"CTRC",8,1,9,4,5,13,35,6
"CELA2A",0,0,2,1,2,0,4,4
"CELA2B",2,1,2,2,6,7,5,0
"CASP9",1157,948,960,961,720,656,793,739
"DNAJC16",1211,1899,918,2148,1607,1107,1224,1879
"SCARNA21B",0,0,0,0,0,1,0,0
"RP4-680D5.8",3,7,1,5,4,2,1,5
"AGMAT",519,1260,429,1378,827,446,511,926
"RP4-680D5.2",4,5,1,10,8,3,7,11
"RP4-680D5.3",17,8,13,21,17,9,8,11
"RNU7-179P",0,0,0,0,0,0,0,0
"RP4-680D5.4",0,0,0,0,0,0,0,0
"DDI2",2960,3360,2290,3965,2679,2650,2632,3388
"RSC1A1",0,0,0,0,0,0,0,0
"RP4-680D5.9",0,0,0,0,1,0,0,0
"PLEKHM2",7353,5248,6069,5909,6441,5828,6288,6968
"RP11-288I21.1",30,28,26,31,48,39,44,44
"SLC25A34",49,20,39,20,47,32,46,30
"RP11-169K16.4",0,0,0,0,0,0,0,0
"TMEM82",1,0,0,0,0,0,0,0
"FBLIM1",3,2,4,2,1,0,3,1
"RP11-169K16.6",1,0,0,2,1,3,0,0
"UQCRHL",481,550,416,672,478,399,405,499
"RP11-169K16.8",45,71,19,45,43,35,31,54
"RP11-169K16.9",148,130,118,123,142,140,171,130
"SPEN",8985,7186,7055,7942,8720,8391,9620,10307
"RP1-134O19.3",0,1,0,1,0,0,0,2
"ZBTB17",2223,1412,1751,1388,1717,2123,2108,1916
"RP11-5P18.1",0,0,0,0,0,0,3,3
"RP11-5P18.3",0,0,0,0,0,0,0,0
"RP11-5P18.11",0,0,0,0,0,0,0,0
"RP11-5P18.2",0,0,0,0,0,0,0,0
"C1orf64",0,0,0,0,0,0,0,0
"RP11-5P18.5",0,0,0,0,0,0,0,0
"HSPB7",0,0,4,0,0,0,0,0
"CLCNKA",0,0,0,0,0,0,0,0
"RP11-5P18.10",1,0,1,1,0,2,5,0
"CLCNKB",0,0,0,0,0,0,0,0
"FAM131C",10,6,8,8,1,9,15,4
"EPHA2",2,0,1,0,0,0,1,0
"RP11-276H7.2",0,0,0,0,0,0,0,0
"RP11-276H7.3",1,0,0,0,0,0,3,0
