"","7486_3","7486_4","7486_5","7486_6","7486_7","7486_8","7486_9","7486_10"
"TMEM240",16,31,18,28,21,33,27,31
"SSU72",5531,4386,5116,5061,5214,4558,5561,5951
"RP5-832C2.5",21,23,37,43,28,25,26,34
"RP11-345P4.11",0,0,0,0,2,0,0,0
"C1orf233",437,431,406,488,364,165,370,231
"RP11-345P4.9",424,462,397,465,387,378,441,440
"MIB2",4391,2666,3817,3250,3948,2724,4247,3754
"MMP23B",10,2,4,1,5,2,0,5
"CDK11B",3411,2626,2959,3133,3210,2773,3393,3748
"RP11-345P4.10",2,1,0,0,0,4,2,1
"SLC35E2B",6700,3866,5819,4509,7343,4329,7831,5901
"RP11-345P4.6",246,179,249,217,294,213,278,305
"MMP23A",12,2,9,4,14,1,11,5
"CDK11A",612,402,510,432,573,394,590,547
"RP1-283E3.8",341,232,401,270,503,278,559,315
"RP1-283E3.4",98,52,102,71,151,62,156,79
"SLC35E2",2353,1233,2074,1386,2349,1032,2786,1528
"NADK",3368,2856,3017,3376,3114,2457,3375,3182
"GNB1",12767,10589,11918,13244,15412,13901,16261,18396
"RP1-140A9.1",12,12,8,9,5,5,8,6
"CALML6",50,49,46,41,18,12,32,33
"TMEM52",7,14,7,13,7,5,4,4
"CFAP74",1,0,1,0,0,2,0,0
"RP11-547D24.1",0,0,0,0,0,0,0,0
"GABRD",0,0,0,0,0,0,0,0
"RP11-547D24.3",0,0,0,0,0,0,0,0
"PRKCZ",235,258,241,304,241,272,254,357
"RP5-892K4.1",2,0,1,3,4,5,7,9
"RP11-181G12.2",219,162,180,165,141,116,195,212
"FAAP20",2827,2605,2657,2983,2250,1899,2541,2650
"RP11-181G12.4",0,0,4,1,0,3,0,1
"SKI",6449,4180,6001,5171,10543,9037,11135,11960
"MORN1",173,92,149,136,150,109,159,165
"RP4-713A8.1",0,0,2,0,0,0,2,0
"RP4-740C4.5",43,21,39,20,34,26,34,25
"RP4-740C4.7",29,18,33,11,11,14,16,15
"RER1",6745,5228,5947,6037,6230,5534,6817,7316
"PEX10",446,386,443,489,387,206,447,289
"PLCH2",2621,943,2308,1251,1694,982,1876,1311
"RP3-395M20.2",18,19,19,10,19,20,25,9
"RP3-395M20.3",24,11,18,13,17,13,21,12
"PANK4",2583,1611,2256,1844,2786,1683,3042,2273
"HES5",3,9,6,14,3,0,2,0
"RP3-395M20.12",301,224,244,326,198,92,216,193
"RP3-395M20.8",1878,884,1653,1104,770,268,918,392
"TNFRSF14",27587,23297,24407,27639,14569,8737,15831,12661
"RP3-395M20.7",139,128,143,168,64,34,64,43
"RP3-395M20.9",196,105,168,120,138,36,151,62
"FAM213B",3242,3095,2893,3365,2841,1924,3048,2550
"MMEL1",74,42,54,60,28,20,47,27
"RP13-436F16.1",0,0,0,0,0,0,0,0
"TTC34",102,38,97,55,73,34,82,53
"ABC14-1188822O7.1",1,1,6,4,0,0,0,5
"RP11-740P5.2",0,0,0,0,0,0,0,0
"RP11-740P5.3",0,0,0,0,0,0,0,0
"RP5-907A6.1",0,0,0,0,0,0,0,0
"ACTRT2",0,0,0,0,0,0,0,0
"RP1-163G9.1",4,0,10,0,3,1,11,0
"PRDM16",17,4,16,11,14,14,25,16
"MIR4251",0,0,0,0,0,0,0,0
"RP1-163G9.2",0,0,0,0,0,0,0,0
"RP11-193J6.1",0,0,0,1,0,0,0,0
"RP11-22L13.1",0,0,0,0,0,0,0,0
"ARHGEF16",0,0,0,1,6,5,8,2
"RP11-168F9.2",0,0,3,0,0,0,1,1
"MEGF6",2577,352,2285,422,3954,673,4290,942
"MIR551A",0,0,0,0,0,0,0,0
"RP11-46F15.2",86,47,67,48,131,26,125,41
"TPRG1L",1536,1042,1404,1107,1922,1262,2030,1659
"WRAP73",3301,2582,2984,3324,2885,2241,3221,3072
"TP73",25,23,33,34,17,24,40,17
"RP5-1092A11.5",0,0,0,0,0,0,0,0
"RP5-1092A11.2",0,0,0,3,0,0,0,1
"TP73-AS1",1794,1265,1561,1620,1518,1141,1604,1523
"RF02197",0,0,0,0,0,0,0,0
"CCDC27",1,0,0,0,2,0,0,0
"SMIM1",6,3,6,9,4,1,2,6
"LRRC47",3251,2165,2747,2797,3030,2165,3205,3049
"RN7SL574P",7,6,9,9,7,7,5,9
"RP1-286D6.5",189,118,155,141,117,94,132,143
"CEP104",2982,2277,2803,2688,3762,3324,3964,4511
"DFFB",1085,744,946,861,947,666,1100,756
"C1orf174",2583,2120,2223,2488,2261,1704,2515,2466
"RP13-15E13.1",46,58,34,67,66,51,65,75
"RP13-614K11.1",3,1,1,0,0,1,2,4
"RP13-614K11.2",0,0,0,0,2,0,0,0
"RP11-718D19.1",0,0,0,0,1,0,0,0
"RP11-718D19.2",0,0,0,0,1,0,0,0
"RP11-374C13.1",0,0,0,0,0,0,0,0
"RP5-1166F10.1",0,0,0,0,0,0,0,0
"RP5-1166F10.2",0,0,0,0,0,0,0,0
"RP1-37J18.1",0,0,0,0,0,0,0,0
"RP1-37J18.2",0,0,0,0,0,0,0,0
"AJAP1",0,0,1,1,3,0,1,1
"RP4-603B14.2",0,0,0,0,0,0,0,0
"RP4-603B14.1",0,0,0,0,0,0,0,0
"RP11-542C10.1",0,0,0,0,0,0,0,1
"RP4-703E10.1",0,0,0,0,0,0,0,0
"RP1-58B11.2",0,0,0,0,0,0,0,0
"RP1-58B11.3",0,0,0,0,0,0,0,0
"RP1-58B11.1",0,0,0,0,0,0,0,0
"RP3-491M17.1",0,0,0,1,0,0,0,0
"RP11-154H17.1",23,3,10,3,13,7,18,4
"MIR4417",0,0,2,1,2,0,0,4
"MIR4689",0,0,0,1,0,0,0,0
"NPHP4",1208,1369,1089,1714,990,1338,1194,1785
"KCNAB2",21137,15113,19441,18693,19865,14037,21813,19739
"CHD5",42,47,30,30,46,29,34,44
"RPL22",12739,10293,12131,11752,12858,7802,14582,10400
"RP1-120G22.11",8,12,6,14,11,0,8,1
"RNF207",909,1577,950,1904,458,433,470,486
"ICMT",1690,1488,1542,1762,2051,1678,2346,2200
"LINC00337",8,5,4,2,7,3,3,4
"HES3",0,0,0,0,0,0,0,0
"GPR153",35,25,30,32,37,29,39,27
"ACOT7",1610,2440,1516,2863,810,1499,785,1921
"RP1-202O8.3",0,0,0,0,0,0,0,0
"HES2",34,51,25,50,14,22,10,35
"ESPN",472,176,426,191,742,191,821,255
"MIR4252",0,0,0,0,0,0,0,0
"RP1-202O8.2",2,0,0,0,0,0,3,0
"TNFRSF25",22047,12839,19006,15222,28042,13521,31103,18048
"PLEKHG5",544,309,466,347,579,385,604,548
"NOL9",2801,2118,2570,2399,2761,1843,3474,2576
"RNU6-731P",0,0,0,1,0,0,0,0
"RP11-58A11.2",14,10,22,29,28,21,23,9
"TAS1R1",3,4,2,0,1,2,0,1
"ZBTB48",2711,2172,2372,2474,2160,2058,2484,2856
"KLHL21",2877,1741,2548,2047,3781,2463,4045,3228
"PHF13",1062,1011,943,1058,967,892,928,1165
"THAP3",962,792,842,1030,779,788,873,1031
"DNAJC11",2231,1831,1916,2210,2123,1606,2251,2179
"RP11-242F24.1",0,0,0,0,0,0,0,0
"RP11-242F24.2",0,0,0,0,0,1,0,0
"RP11-312B8.1",26,8,21,14,28,15,20,20
"CAMTA1",571,505,480,629,475,428,512,577
"RP11-312B8.2",1,1,0,0,0,0,0,0
"RP11-334N17.1",0,0,0,0,0,0,0,0
"RNU1-8P",0,0,0,0,0,0,0,0
"RP3-453P22.1",0,0,0,0,0,0,0,0
"RP3-453P22.2",0,0,0,0,0,0,0,0
"RP4-549F15.1",0,0,0,0,0,0,0,0
"RP11-338N10.1",0,0,0,0,0,0,0,0
"RP11-338N10.2",1,0,0,0,0,0,0,0
"RP11-338N10.3",0,0,2,0,0,0,0,0
"VAMP3",1782,1154,1737,1441,1939,1419,1937,2048
"RP3-467L1.6",67,58,43,76,54,56,47,69
"PER3",331,183,268,187,302,150,345,209
"RP3-467L1.4",9,3,11,2,3,4,4,6
"UTS2",2,4,8,6,10,2,6,0
"TNFRSF9",266,1427,271,1853,46,375,53,457
"RP5-892F13.2",0,0,0,0,0,0,0,0
"PARK7",6384,7538,5685,9140,5384,5380,6096,6810
"RF00019",942,751,825,1005,871,822,1034,1079
"CTA-215D11.6",94,75,75,102,86,59,87,102
"CTA-215D11.5",3,3,3,3,1,1,6,9
"ERRFI1",35,63,36,58,42,76,37,79
"RP11-431K24.1",0,0,0,0,0,0,0,0
"CTA-215D11.4",0,0,0,0,2,0,0,0
"RP11-431K24.2",0,0,0,0,0,0,0,0
"RP11-431K24.3",0,0,0,0,0,0,0,0
"RNU1-7P",0,0,0,0,0,0,0,0
"RP11-431K24.4",0,0,0,0,0,0,0,0
"RNU6-991P",0,0,0,0,0,0,0,0
"SLC45A1",39,79,33,71,38,72,36,118
"RERE",7126,5513,6252,6927,5636,4838,6007,6578
"RP5-1115A15.1",95,54,77,51,45,25,50,42
"RF00599",1,0,0,0,0,1,0,1
"RP5-1115A15.2",1,0,0,0,0,0,0,0
"RP4-633I8.1",1,0,0,1,0,0,0,1
"RP4-633I8.2",0,0,0,0,0,1,0,0
"RP4-633I8.3",0,0,0,2,1,0,0,0
"RP4-633I8.4",0,0,0,1,0,0,0,0
"RP11-185B14.1",1,1,0,0,0,0,0,0
"ENO1",98269,157498,93273,185554,79463,127520,86188,174297
"MIR6728",8,26,9,21,5,10,10,16
"RP3-477M7.3",29,21,24,21,7,14,26,27
"RNU6-304P",15,3,6,17,6,7,5,8
"RP3-477M7.4",125,61,93,69,135,78,149,115
"RP3-477M7.5",820,290,726,386,939,564,956,772
"RP3-477M7.6",55,21,57,18,69,38,71,35
"CA6",1795,650,1648,798,2554,1350,3053,1776
"RN7SL451P",2,2,1,2,3,0,1,3
"SLC2A7",7,0,8,4,12,4,4,4
"SLC2A5",5,12,5,5,10,54,7,68
"RF00424",1,0,0,0,0,0,0,1
"GPR157",677,663,612,818,938,4061,972,5277
"MIR34AHG",4519,3481,3919,4025,6483,4885,7205,6305
"MIR34A",0,0,0,0,0,0,0,0
"RP3-510D11.2",93,56,114,82,158,90,130,138
"H6PD",4930,3937,4597,4641,3619,2749,3972,3777
"SPSB1",136,137,110,134,234,736,277,984
"CTD-2510L9.2",0,0,0,0,0,0,0,2
"CTD-2510L9.1",1,2,4,0,1,0,0,4
"RNA5SP40",0,0,0,0,0,0,0,0
"RP13-392I16.1",0,0,0,0,0,0,0,0
"SLC25A33",394,505,356,581,388,486,418,528
"RP13-15M17.1",8,22,26,37,15,13,24,25
"TMEM201",806,896,689,902,580,482,699,646
"PIK3CD",25799,13347,23122,15792,29769,16180,30573,21539
"C1orf200",29,34,24,40,15,24,39,18
"RP11-558F24.2",0,2,2,0,1,0,0,1
"RP11-558F24.4",11,9,15,6,8,11,9,8
"CLSTN1",10177,6786,9371,8006,7977,5802,8878,7907
"RP11-558F24.6",0,0,0,0,0,0,0,0
"RP11-84A14.7",0,0,1,0,0,0,4,0
"CTNNBIP1",373,257,370,331,341,376,370,431
"RP11-84A14.5",0,0,0,0,0,0,0,0
"LZIC",711,563,572,636,1025,771,924,972
"RP11-84A14.4",11,24,10,17,19,11,9,20
"NMNAT1",312,299,246,361,352,301,372,479
"RN7SKP269",2,6,5,4,0,0,1,0
"RP11-84A14.6",0,0,0,0,0,1,0,0
"MIR5697",2,0,0,2,2,0,0,1
"RP11-807G9.2",0,0,0,0,0,0,0,0
"RBP7",1,3,0,0,0,1,2,2
"UBE4B",2825,1957,2613,2355,3224,2557,3446,3233
"RP11-496H15.2",2,0,1,3,0,1,7,0
"RP11-496H15.3",9,14,4,6,11,10,10,5
"RNU6-828P",2,0,0,0,1,0,0,4
"KIF1B",1353,1449,1411,1721,1066,1586,1242,2146
"MIR1273D",0,0,0,0,0,0,0,0
"RNU6-37P",0,0,1,0,0,2,0,1
"RN7SL731P",0,0,0,0,0,0,0,0
"RP4-736L20.4",8,10,10,12,9,15,8,11
"RP4-736L20.5",59,72,49,60,24,45,36,66
"PGD",3434,4402,3266,5238,5454,6710,6286,9232
"RP4-736L20.3",2,0,1,0,1,0,1,0
"APITD1-CORT",12,4,3,6,11,13,11,11
"CENPS",24,33,26,21,26,14,17,12
"CORT",24,41,24,20,9,14,17,17
"DFFA",1928,1684,1868,2122,2167,1603,2392,2209
"RP5-1113E3.3",0,0,0,0,0,0,0,0
"PEX14",1236,1012,1092,1291,966,831,1108,1113
"RN7SL614P",3,5,3,1,2,1,2,4
"CASZ1",361,336,299,420,363,326,403,490
"RP4-734G22.3",65,97,93,129,58,60,48,94
"RP11-340B24.3",0,0,0,0,0,0,0,0
"C1orf127",1,0,0,2,0,5,1,4
"CFLP6",8,5,4,1,1,4,3,3
"TARDBP",6123,3865,5482,4691,5973,4040,6453,5244
"RP4-635E18.9",0,0,0,0,0,0,0,0
"MASP2",531,394,475,449,498,412,672,545
"RP4-635E18.8",305,248,275,269,253,192,264,273
"SRM",3816,5112,3296,5854,2811,2216,3055,3091
"EXOSC10",4380,3274,3893,3947,4308,3702,4623,5100
"RP4-635E18.7",57,47,47,43,34,25,48,49
"RP4-635E18.6",4,4,1,0,5,2,3,5
"MTOR",4969,3932,4537,4490,5278,4720,5751,6353
"RP11-99P18.1",1,0,1,4,1,2,1,3
"RNU6-537P",0,0,0,0,0,0,0,0
"ANGPTL7",2,0,0,0,0,1,2,2
"RNU6-291P",1,0,0,0,1,1,0,0
"RP4-647M16.1",0,0,0,0,0,0,0,0
"UBIAD1",1721,1184,1812,1514,2259,1472,2371,2000
"RP4-796F18.2",7,2,15,7,18,3,12,12
"RP4-796F18.3",0,0,0,0,0,1,0,0
"RP11-149P14.1",0,0,0,0,0,0,0,0
"DISP3",89,53,62,81,195,260,222,299
"RP1-69M21.2",0,0,0,0,0,0,0,0
"RP3-330O12.5",0,6,6,1,0,3,1,4
"FBXO2",151,151,156,179,81,165,104,262
"FBXO44",4507,3680,3875,4264,3031,3182,3371,4344
"FBXO6",1769,1430,1550,1559,747,787,792,1070
"MAD2L2",1440,1409,1373,1639,1078,1172,1208,1566
"DRAXIN",88,17,81,37,119,33,118,54
"AGTRAP",955,492,899,593,727,432,693,624
"C1orf167",1,2,2,2,0,2,0,3
"RP11-56N19.5",0,0,1,0,0,0,0,0
"MTHFR",1858,2024,1797,2341,1816,2317,1928,3016
"CLCN6",1249,1869,1133,2273,1348,2091,1341,2713
"NPPA-AS1",5,26,12,29,6,31,8,26
"RF02156",0,0,0,0,0,0,0,0
"RF02157",0,0,0,0,0,0,0,0
"NPPA",8,17,6,28,7,19,4,28
"RF02158",0,0,0,0,0,0,0,0
"NPPB",0,0,0,0,0,0,0,0
"RP5-934G17.6",0,0,0,1,0,0,0,0
"RNU5E-1",1,1,0,1,0,0,1,0
"RNU5E-4P",0,0,5,0,0,1,0,0
"KIAA2013",2788,2168,2705,2617,2554,2206,2833,2868
"PLOD1",679,1132,663,1266,563,776,574,999
"MFN2",3942,3574,3710,4379,3825,3998,4180,5437
"RP5-1077B9.5",2,0,0,0,0,0,0,0
"MIIP",7065,7782,6520,8904,4843,7404,5386,10102
"MIR6729",0,0,0,0,0,0,0,0
"RN7SL649P",0,0,0,0,3,0,0,0
"TNFRSF8",243,333,275,393,151,81,137,108
"RNU6-777P",0,0,0,0,0,0,0,0
"RP11-426M1.2",0,0,0,0,0,0,0,0
"MIR7846",0,0,0,0,0,0,0,1
"TNFRSF1B",18065,13757,17445,16279,18750,22502,20292,30242
"MIR4632",4,5,4,4,2,3,3,7
"RP5-1118D24.2",1,0,0,0,0,2,0,0
"RF00156",9,3,5,2,6,4,3,7
"VPS13D",4344,2674,4101,3141,5577,4181,5719,5042
"SNORA59A",9,11,9,5,12,4,11,5
"RP5-888M10.2",20,6,32,13,37,17,31,21
"DHRS3",10477,7234,9181,8256,8125,7723,9123,10744
"RNU6ATAC18P",57,68,48,56,37,56,40,81
"MIR6730",17,9,14,21,11,17,26,28
"RP11-474O21.5",25,27,32,31,24,40,23,64
"AADACL4",0,0,3,0,0,0,0,1
"RP11-474O21.2",0,0,0,0,0,0,0,0
"AADACL3",0,0,0,0,0,0,0,0
"C1orf158",0,0,0,0,0,0,0,0
"PRAMEF12",0,0,2,0,0,1,0,0
"PRAMEF1",0,0,0,0,0,0,0,0
"RP5-845O24.8",0,0,0,0,0,0,0,0
"PRAMEF11",0,0,0,0,0,0,0,0
"RP5-845O24.3",0,0,0,0,0,0,0,0
"HNRNPCL1",0,0,0,1,0,0,0,2
"PRAMEF2",0,0,0,0,0,0,0,0
"PRAMEF4",0,0,0,0,0,0,0,0
"PRAMEF10",1,0,0,0,0,0,0,0
"PRAMEF7",0,0,0,0,0,0,0,0
"RNU6-1072P",0,0,0,0,0,0,0,0
"RP11-450I1.2",0,0,0,0,0,0,0,0
"PRAMEF6",0,0,0,0,0,0,0,0
"CH17-409J4.2",0,0,0,0,0,0,0,0
"PRAMEF27",0,0,0,0,0,0,0,0
"HNRNPCL3",0,0,0,0,0,0,0,0
"PRAMEF25",0,0,0,0,0,0,0,0
"WI2-2994D6.1",0,0,0,0,0,0,0,0
"RP13-221M14.4",0,0,0,0,0,0,0,0
"HNRNPCL2",0,0,0,0,0,0,0,0
"RP13-221M14.3",0,0,0,0,0,0,0,0
"RP13-221M14.2",0,0,0,0,0,0,0,0
"PRAMEF26",0,0,0,0,0,0,0,0
"HNRNPCL4",0,0,0,0,0,0,0,0
"PRAMEF9",0,0,0,0,0,0,0,0
"PRAMEF13",0,0,0,0,0,0,0,0
"PRAMEF18",0,0,0,0,0,0,0,0
"RP11-450I1.4",0,0,0,0,0,0,0,0
"PRAMEF5",0,0,0,0,0,0,0,0
"RP11-219C24.8",0,0,0,0,0,0,0,0
"RNU6-771P",0,0,0,0,0,0,0,0
"PRAMEF8",0,0,0,0,0,0,0,0
"RP11-219C24.6",0,0,0,0,0,0,0,0
"PRAMEF15",0,0,0,0,0,0,0,0
"RP11-219C24.10",0,0,0,0,0,0,0,0
"PRAMEF14",0,0,0,0,0,0,0,0
"PRAMEF19",0,0,0,0,0,0,0,0
"PRAMEF17",0,0,0,0,0,0,0,0
"PRAMEF20",0,0,0,0,0,0,0,0
"LRRC38",0,0,0,0,0,0,0,0
"RP4-597A16.2",0,0,0,0,0,0,0,0
"RP4-597A16.3",0,0,0,0,0,0,0,1
"PDPN",0,1,0,0,0,0,0,0
"RNA5SP41",0,0,0,0,0,0,0,0
"CTA-520D8.2",0,0,0,0,0,0,0,0
"RF00564",0,1,0,0,0,0,0,0
"PRDM2",3890,2379,3493,2735,4260,3012,4364,3795
"KAZN",17,14,15,20,17,13,10,19
"RNU6-1265P",0,0,0,0,0,0,0,0
"RP11-344F13.1",0,0,0,0,0,0,0,0
"RP4-704D23.1",0,0,0,0,0,0,0,0
"RP3-410I8.1",0,0,0,0,0,0,0,0
"TMEM51-AS1",0,1,1,0,0,0,0,0
"TMEM51",26,116,10,100,0,3,4,4
"C1orf195",0,0,0,0,0,0,0,0
"RP1-21O18.3",0,0,0,0,0,0,0,0
"RP5-903E17.2",0,0,0,1,0,0,0,0
"FHAD1",14,56,11,50,1,2,0,2
"RP3-467K16.2",0,0,0,0,0,0,0,0
"RP3-467K16.7",0,3,0,0,0,0,2,0
"RP3-467K16.4",0,4,2,0,2,1,1,0
"EFHD2",5176,4188,4656,5267,4060,3495,4321,4637
"CTRC",24,21,27,38,27,50,32,65
"CELA2A",2,0,1,1,6,3,1,5
"CELA2B",6,3,10,3,6,10,12,13
"CASP9",763,602,718,746,811,785,770,1096
"DNAJC16",1743,1122,1640,1379,2091,1232,2219,1544
"SCARNA21B",1,0,0,0,3,0,0,0
"RP4-680D5.8",12,4,7,5,9,4,9,4
"AGMAT",737,444,677,617,795,227,984,292
"RP4-680D5.2",149,113,153,105,203,51,186,83
"RP4-680D5.3",4,0,10,9,7,0,7,3
"RNU7-179P",0,0,1,0,0,0,0,0
"RP4-680D5.4",0,0,0,0,1,0,0,0
"DDI2",2791,2372,2505,2980,3324,2631,3512,3359
"RSC1A1",0,0,0,0,0,0,0,0
"RP4-680D5.9",0,0,1,0,0,0,0,0
"PLEKHM2",5620,4917,4843,5511,5012,4405,5268,6147
"RP11-288I21.1",55,63,64,87,69,71,73,74
"SLC25A34",164,220,147,257,86,132,127,245
"RP11-169K16.4",0,0,0,0,0,0,0,0
"TMEM82",0,0,1,0,0,0,1,0
"FBLIM1",3,3,3,1,8,5,2,10
"RP11-169K16.6",2,1,1,0,1,0,0,2
"UQCRHL",222,172,210,229,214,147,224,195
"RP11-169K16.8",13,13,15,11,15,5,10,7
"RP11-169K16.9",297,255,260,212,241,165,306,267
"SPEN",7072,6886,6697,7957,8899,8282,9256,10797
"RP1-134O19.3",0,0,1,1,1,0,0,0
"ZBTB17",2854,3122,2498,3564,1925,1686,2143,2464
"RP11-5P18.1",1,0,0,0,2,1,3,2
"RP11-5P18.3",0,0,0,0,0,0,0,0
"RP11-5P18.11",0,0,0,0,0,0,0,0
"RP11-5P18.2",1,0,0,0,0,0,2,0
"C1orf64",0,0,0,0,0,1,0,0
"RP11-5P18.5",0,0,0,0,0,0,0,0
"HSPB7",0,0,0,0,0,0,0,0
"CLCNKA",0,0,0,0,0,0,0,0
"RP11-5P18.10",2,0,2,0,0,0,1,0
"CLCNKB",0,0,0,0,0,0,0,0
"FAM131C",5,2,10,1,2,0,2,2
"EPHA2",2,9,2,7,7,7,2,6
